word,frequency
luis,48267
tuve,48157
guste,47751
ilumine,47688
oportunidad,47600
frohe,47573
otros,47542
traer,47487
sino,47448
hago,47374
escuchar,47296
cuento,47256
have,47150
amores,47086
villancicos,47011
cualquier,46889
maravilloso,46663
emoci,46616
year,46567
trajo,46552
amig,46538
visita,46520
vienen,46431
pierdas,46121
radio,46059
venga,45986
entrega,45763
especiales,45580
llevo,45551
claus,45486
xito,45458
palabras,45332
amistad,45279
algunos,45247
estan,45095
hacia,45080
loter,45021
llorar,44914
productos,44808
post,44805
haga,44660
vuelta,44628
leer,44620
vive,44610
estrella,44609
hagan,44543
blica,44492
sico,44374
cual,44307
siguen,44279
like,44257
sima,44226
sola,44217
carlos,44135
calle,44106
placer,44021
podemos,43963
millones,43700
realmente,43613
navi,43611
media,43603
guapa,43523
verdadero,43516
acuerdo,43505
comunidad,43449
precio,43443
pensar,43436
sala,43423
adoro,43227
segundo,43148
encontrar,43112
rato,43101
esmuybarato,43047
nuevos,42981
servicio,42912
trae,42877
jajajajaja,42864
cazandogangas,42786
ideal,42766
tomar,42760
horario,42678
abuelo,42668
faltan,42661
megapremios,42642
todochollos,42565
noticia,42515
tweet,42455
segunda,42406
verte,42385
venir,42320
dentro,42190
deseando,42072
sonrisas,41974
listo,41964
inolvidable,41847
chicas,41740
tipo,41696
cenar,41660
onda,41578
videos,41542
misma,41437
espectacular,41281
angelito,41270
dicho,41245
tbol,41179
jose,41167
teng,41132
cerca,41089
diciendo,41055
plaza,40540
flia,40443
jugar,40372
aires,40243
enhorabuena,40211
concurso,40067
pasan,40055
llegan,39896
terminar,39888
dale,39871
justo,39837
presente,39653
eran,39610
sorpresa,39605
llevar,39595
fuerza,39457
ndome,39444
recordar,39438
juegos,39307
sigan,39294
favorita,39212
belleza,39204
perros,39188
ticos,39169
barcelona,39144
agradecer,39080
habr,39060
barrio,39031
milagro,39030
informaci,38997
sale,38995
colombia,38951
viaje,38923
mariobautista,38919
reci,38896
entonces,38847
reina,38816
hacemos,38780
tanta,38762
llegado,38709
dando,38593
quisiera,38519
alegria,38509
aquellos,38487
esperar,38373
compr,38369
pasamos,38247
pens,38197
vuestra,38152
gobierno,38125
pensando,38048
friends,38042
cenas,37932
felicitaci,37886
tristeza,37882
ayuda,37863
desearle,37861
pueda,37785
libertad,37698
meses,37640
vivo,37614
tierra,37494
dejamos,37432
perro,37343
llevas,37287
tema,37146
creer,37083
disfrut,37013
loco,36902
imagen,36867
regalitos,36801
holidays,36756
bajo,36741
ando,36617
despues,36565
plata,36505
haces,36495
nimo,36364
pasarla,36342
trajeron,36309
retweeted,36242
poquito,36226
tradiciones,36183
hablar,36099
primos,36030
perfecta,35955
sentir,35866
tico,35837
instagram,35829
seas,35733
abrir,35650
hermosas,35568
respeto,35529
sentido,35463
onuevo,35402
rojo,35327
feli,35316
agua,35303
genes,35065
chico,35055
crack,35020
banda,34932
corazon,34922
ambiente,34916
dejen,34869
tampoco,34847
reproducci,34800
bendici,34787
puse,34758
bebe,34738
york,34697
trump,34655
cabello,34652
hermosos,34607
vidas,34488
fujimori,34424
actividades,34379
lang,34266
lindas,34164
vecinos,34154
felicesfiestas,34002
recuerden,33932
vestido,33870
hicieron,33831
precioso,33820
redes,33767
david,33763
trabajando,33754
partir,33734
estuvo,33694
campa,33692
vuelve,33684
that,33683
nuevas,33618
minutos,33617
partido,33602
solidaridad,33584
ojos,33563
consejos,33560
yung,33534
arte,33532
princesa,33510
salvador,33403
comparte,33392
fans,33330
mont,33312
sois,33301
pareja,33281
punto,33254
bonitas,32881
celular,32880
recetas,32836
comiendo,32810
compartiendo,32715
ayudar,32693
lleva,32658
mandar,32624
cama,32545
encima,32537
dulces,32511
regalado,32442
brindar,32432
ndole,32405
debryanshow,32366
pasala,32365
toque,32360
quiera,32336
pude,32303
pregunta,32268
preparado,32263
mexico,32231
verga,32222
serio,32166
otras,32147
wish,32120
feliciano,32104
abuelos,32059
risas,32023
decoraci,32021
futuro,31966
patria,31956
tradicional,31929
resto,31910
recibe,31902
motivo,31793
escuchando,31770
time,31769
atenci,31724
qued,31679
pavo,31679
pasaron,31615
dinero,31612
gana,31567
mami,31566
ppkamigo,31515
chocolate,31446
mega,31395
facebook,31318
favorito,31253
pienso,31225
puedan,31214
detalles,31194
amado,31101
martes,31094
colme,31070
primo,31041
pablo,30926
rcoles,30903
blog,30850
arriba,30812
musica,30783
tiempos,30591
mand,30549
encuentran,30521
prima,30404
copa,30398
follow,30392
moda,30379
conocer,30322
xima,30255
quedan,30242
good,30211
energ,30187
nacional,30183
cuanto,30183
unico,30136
entra,30100
chica,30071
tantas,30016
estes,29994
infantil,29939
hope,29939
edici,29881
recalentado,29824
darte,29818
cine,29817
quedar,29773
algunas,29756
dise,29743
pocas,29686
coincide,29675
bastante,29671
reyesmagos,29602
oferta,29588
best,29581
puesto,29569
venturoso,29560
alto,29536
rodeados,29532
blanca,29519
deseas,29496
sera,29492
damos,29414
just,29388
conoce,29289
ante,29266
compra,29249
pongo,29234
social,29212
cambio,29112
aprovecha,29085
nicos,29065
abriendo,28963
nota,28949
ofertas,28862
general,28848
mereces,28842
perder,28824
musical,28812
fant,28804
mago,28703
original,28639
especialmente,28576
empieza,28562
gustan,28556
amamos,28556
cumplir,28537
guapo,28523
manda,28421
nacido,28413
preparar,28349
humor,28339
prop,28278
conseguir,28232
existe,28220
llegaron,28109
adornos,28080
quiz,28050
calor,27976
agradezco,27964
darme,27885
contra,27882
receta,27851
unidos,27738
madres,27738
stico,27733
miles,27710
reto,27597
seguridad,27576
siente,27526
regalen,27485
recib,27472
night,27466
cristo,27394
mauriciomacri,27394
cncomusic,27383
recibido,27374
cabeza,27346
calles,27297
interesante,27295
