word,frequency
servicio,49833
perd,49776
carlos,49739
novio,49697
celebr,49503
lindo,49419
llorar,49409
rica,49405
pone,49259
partir,49076
regal,48990
nota,48884
estrella,48820
cual,48802
blica,48733
sale,48700
hermano,48692
with,48548
viva,48513
tbol,48384
conoce,48375
super,48363
jajajajaja,48283
pavo,48219
nazca,48172
algunas,48166
alcalde,48104
segunda,48095
instagram,47934
miles,47873
frente,47828
tuyos,47765
colapso,47761
nombre,47697
mano,47612
dolartoday,47549
sorpresa,47540
tristeza,47437
pidi,47417
felicidad,47336
media,47216
muchas,47190
tomar,47139
cool,47064
recuerdo,47052
chile,47045
vallecas,47044
google,47023
otras,46987
oferta,46937
catalu,46897
dejo,46840
precio,46830
mica,46734
cdmx,46729
saben,46723
motivos,46569
perdi,46510
diario,46485
especiales,46414
ventas,46352
opini,46313
sociales,46234
encima,46073
actividades,46035
dieron,46011
querido,45961
acaba,45894
fujimori,45809
pedo,45765
ante,45751
maquillaje,45686
pocos,45630
festival,45628
aqui,45623
hogar,45514
anticipadas,45362
verdadero,45212
juegos,45126
tema,45004
adornos,44753
shoko,44658
escuchar,44594
recibe,44582
fecha,44548
unidos,44504
cerca,44483
momentos,44428
llevar,44418
partido,44268
ofertas,44255
decoraci,44231
viejo,44229
diferente,44212
suena,44181
dentro,44170
importante,44147
dirvitcom,44023
comiendo,43984
internet,43960
hija,43947
pensar,43919
trajo,43891
operativo,43736
villa,43712
cenar,43676
almuerzo,43625
oles,43433
varios,43406
ctimas,43285
parque,43243
celebramos,43175
guerra,43156
chicos,43055
siguen,42978
libro,42963
atenci,42846
punto,42817
vuelta,42789
llena,42725
grandes,42696
falta,42692
primero,42654
pedro,42533
conmigo,42461
esperanza,42435
mujeres,42272
fico,42230
dije,42155
hablar,42028
felicita,42026
haya,42002
gico,41821
pensando,41819
productos,41795
recibieron,41785
chocolate,41619
cierto,41607
bonito,41588
euros,41492
pens,41461
mand,41428
news,41406
valencia,41290
like,41192
quedan,41149
franceschi,41141
llevo,41063
participando,41043
jesus,41008
sean,40855
estan,40834
trabajadores,40797
importa,40706
hice,40658
esperamos,40592
feria,40546
dando,40538
ndose,40537
escuchando,40473
miguel,40205
basura,40166
palabras,40117
perro,40035
acerca,40017
moda,40015
mundial,39997
jueves,39983
bonita,39974
trajeron,39867
recibi,39836
uvas,39699
norte,39682
comidas,39675
general,39622
pena,39617
preparar,39612
prepara,39592
club,39482
meghan,39423
ense,39385
guez,39377
vestido,39354
envi,39324
turr,39291
hermoso,39280
esperar,39265
hambre,39182
doogee,39094
felicitar,39085
tenido,39029
juego,39023
puesto,38997
trabajar,38857
planes,38792
amazfit,38761
rodr,38692
ninguna,38665
vecinos,38629
tierra,38601
rojo,38599
despues,38565
comunidad,38562
blanco,38363
iglesia,38350
quienes,38341
entiendo,38275
ayuntamiento,38224
arbol,38180
rate,38170
ganar,38024
drag,37957
qued,37878
informatico,37874
normal,37697
hallacas,37683
naci,37651
represi,37633
perfecto,37606
hotel,37481
xima,37438
online,37379
necesito,37328
tanta,37322
participa,37263
your,37240
rese,37220
genes,37202
infantil,37156
antonio,37136
horarios,37075
reci,37058
emoci,37006
manuel,36995
dejes,36968
amarga,36934
cajas,36838
cuerpo,36803
venezolano,36710
ltimos,36663
incre,36613
listo,36606
camino,36566
anoche,36525
verga,36458
viaje,36427
mayores,36411
compra,36409
peores,36402
kilos,36400
alcohol,36389
encuentro,36376
loco,36360
llegue,36269
markle,36243
from,36240
pablo,36156
dado,36153
traer,35996
liked,35961
evento,35794
maracaibo,35772
cama,35688
funcionarios,35616
cruz,35550
hermana,35503
cambio,35488
deseos,35427
perder,35413
manera,35392
culos,35390
esposa,35342
hablando,35335
amazon,35315
cielo,35271
llama,35258
rayito,35241
descubre,35136
mitad,35131
abrir,35128
empezar,35099
pocas,35072
play,35065
noches,35008
habla,34983
cola,34971
dejen,34943
simo,34907
faltar,34862
angelito,34842
eeuu,34791
existen,34711
concurso,34687
fiest,34661
ayuda,34644
paramos,34634
galletas,34625
pregunta,34513
dicho,34483
alto,34458
depresi,34439
gimen,34422
empieza,34397
nowplaying,34259
usar,34198
europa,34186
santiago,34134
that,34127
joder,33974
regalaron,33952
preparado,33938
hicieron,33919
kardashian,33902
indulto,33890
recalentado,33812
cabeza,33803
casas,33799
facebook,33787
cartas,33729
modo,33637
ando,33636
noticia,33594
suenaahora,33589
informaci,33559
puerta,33520
pais,33445
trae,33395
perniles,33341
respecto,33339
hago,33338
precios,33306
nicol,33275
desea,33247
calor,33156
animales,33048
recomendaciones,33048
significado,33036
mexico,32979
pirotecnia,32879
resto,32849
terminar,32799
entra,32736
majestades,32598
nivel,32586
jugar,32558
much,32527
lejos,32506
hacia,32496
cocina,32472
puto,32440
novia,32431
total,32424
traen,32365
idea,32312
termin,32283
spain,32194
lleno,32078
pienso,32068
hubo,32002
festejar,31998
termina,31997
motivo,31994
encontrar,31973
toma,31938
municipal,31926
onuevo,31916
cooperante,31915
dulces,31914
joven,31898
cultura,31808
dinero,31728
mero,31717
dejan,31711
tuvo,31673
lluvia,31672
negro,31664
diferentes,31633
plata,31631
pasada,31587
llev,31541
viste,31425
pasen,31412
pijama,31364
mico,31319
mart,31316
mercado,31312
macri,31193
salen,31179
contigo,31161
posible,31161
venga,31157
puse,31122
cimovodafone,31088
cine,31067
metro,30984
rgsnknrtd,30979
logo,30947
ponen,30945
banda,30927
muestra,30894
netflix,30888
serio,30865
famosos,30832
ppkamigo,30782
come,30773
tarjeta,30753
segundo,30727
enga,30724
auto,30682
amigo,30615
imagen,30614
conozca,30589
reciben,30570
anda,30566
detalles,30506
please,30492
realmente,30431
ndome,30405
ndez,30402
recordar,30151
deseas,30141
compr,30136
nimo,30108
viajar,30050
hermanos,30003
aprovecha,30002
pollo,29973
nadal,29930
comienza,29905
ayudar,29861
puigdemont,29859
tambien,29834
have,29822
venezolana,29810
preparando,29760
maria,29660
year,29606
visitar,29580
deos,29576
comparte,29569
blog,29524
seres,29504
venir,29497
tienda,29480
tiempos,29480
orto,29469
ticas,29431
rosario,29407
tuit,29398
diez,29381
centros,29332
nuevos,29287
previa,29233
copernico,29202
gana,29183
accidentes,29182
social,29182
bamos,29177
cristianos,29176
descuento,29105
amiga,29064
manos,29064
felicesfiestas,28962
promoci,28957
estilo,28887
jajajajajaja,28884
acab,28875
pico,28848
ramos,28834
llorando,28827
piden,28795
vosotros,28701
fuegos,28589
encontr,28587
quedar,28513
cuba,28505
teatro,28485
aire,28484
ensalada,28465
cabello,28451
bolsa,28414
pidemelas,28364
felicitaciones,28347
pasamos,28336
siete,28306
perros,28260
municipio,28240
clase,28239
estuvo,28229
festejos,28157
donald,28147
semanas,28083
entrada,28075
revoluci,28070
papel,28010
dejamos,27989
cuanto,27969
nuevas,27953
izquierda,27908
cari,27890
disfrutan,27889
alimentos,27862
harry,27847
