word,frequency
nimo,5356
protesta,5340
excusa,5335
whatsapp,5334
pudo,5329
pensando,5318
amiga,5305
piensa,5270
fuerte,5270
repartir,5270
alma,5259
comidas,5258
muere,5257
sienten,5243
prometidos,5236
tengan,5235
cenas,5234
manos,5232
alto,5221
queen,5219
debido,5197
fieles,5194
nieve,5193
quiera,5192
pasaron,5182
derecho,5181
cola,5175
impuestos,5174
compartir,5166
gica,5166
cumplea,5162
mismos,5161
edad,5148
cruz,5136
llegue,5135
esperando,5127
lista,5127
odia,5115
terror,5113
compra,5108
haces,5102
partido,5096
hacia,5095
empleados,5086
puse,5079
consumismo,5078
sent,5073
digan,5070
bastante,5064
llevar,5062
chica,5062
frente,5055
super,5050
leer,5049
pidi,5040
molesta,5039
gust,5035
acabe,5026
querido,5020
chavista,5014
servicio,5012
domingo,5007
resulta,5007
toca,5005
dura,5002
pasada,4999
sera,4997
carroza,4990
caos,4981
libre,4970
sacar,4962
llamar,4940
pude,4929
malas,4924
venir,4917
gracia,4915
seres,4913
plan,4904
joven,4897
izquierda,4896
piden,4892
mitad,4884
navid,4884
avioncito,4881
nero,4874
imposible,4863
centro,4823
total,4803
muerto,4798
medicinas,4792
ojos,4767
quita,4748
nuestras,4741
altos,4722
tradiciones,4719
corruptos,4716
vitel,4707
jesus,4706
navi,4703
cenar,4698
dando,4692
roja,4687
bromas,4685
cuerpo,4681
terminar,4680
juro,4671
duro,4671
pasen,4670
ataque,4668
pierde,4667
risa,4666
porqu,4665
injusta,4662
artificiales,4649
tragedia,4642
vayan,4637
fico,4627
usar,4627
tiempos,4624
deben,4623
primero,4623
piensan,4607
ctimas,4591
vino,4587
tiran,4581
sima,4567
cuento,4559
cuanto,4544
basta,4543
alberto,4537
todavia,4521
gustan,4520
quitar,4516
imperio,4493
redes,4486
gusto,4486
peso,4484
recuerden,4483
inocentes,4478
vivo,4465
estaban,4460
comiendo,4455
suerte,4440
porq,4435
carajo,4431
cuba,4425
ocurre,4423
celebraci,4409
precio,4408
ltimos,4405
nivel,4396
ltimo,4392
rcel,4392
tuvo,4391
bonito,4385
pocas,4383
robaron,4377
boca,4376
gana,4372
media,4367
heridos,4363
sociedad,4359
broma,4358
regalaron,4357
cambiar,4355
grave,4354
acaso,4347
cuatro,4347
maldita,4341
abrir,4330
jamones,4325
hola,4324
dentro,4322
cumple,4319
quiz,4312
grupo,4307
meter,4307
sociales,4296
barrio,4289
mentiras,4287
diferente,4285
discurso,4278
gustar,4277
cantidad,4270
dulce,4261
perdido,4260
empezar,4254
tantas,4240
crees,4240
tele,4237
viven,4229
termine,4227
merec,4215
delincuentes,4214
civil,4210
merece,4205
pensaba,4202
estuvo,4192
pinche,4191
venezolano,4184
habia,4180
traigan,4179
dijeron,4178
blico,4175
linda,4165
macri,4149
deseos,4147
atenci,4130
embargo,4126
entiende,4119
rato,4113
vecino,4109
venga,4104
acab,4098
salen,4094
incluso,4094
mand,4093
detener,4091
pregunto,4086
ojala,4084
aire,4082
dictadura,4081
much,4073
recordar,4073
asesino,4068
reino,4065
carb,4064
poquito,4060
unico,4058
malos,4053
escuchar,4041
bolsa,4040
junta,4036
machista,4035
mago,4030
minutos,4026
significa,4024
juntos,4020
huevos,4018
gastar,4008
colombia,4007
darle,4001
gala,4000
menor,3991
decirle,3970
adornos,3965
medios,3957
verdadero,3939
ejemplo,3937
interior,3934
llevan,3933
feliznavidad,3933
cojones,3929
termin,3922
corta,3918
deuda,3917
auto,3917
regalado,3913
conmigo,3911
sueldo,3910
unido,3907
vuelto,3906
bolas,3902
trampa,3901
hablan,3901
viva,3900
salvar,3898
derechos,3895
ndome,3894
blanca,3894
critica,3890
chico,3889
sexo,3882
pocos,3877
cerdo,3869
juego,3865
simplemente,3861
adultos,3860
vuelta,3853
cerca,3843
queremos,3838
coca,3834
seria,3828
llegada,3828
internet,3825
tremenda,3825
prometido,3819
cientos,3804
incre,3803
saludo,3798
jugar,3794
tantos,3791
bonita,3790
manda,3784
libro,3773
recalentado,3768
buscar,3768
necesito,3767
romper,3757
regimen,3752
tambien,3751
nombre,3749
desastre,3747
pendejo,3745
ambiente,3743
obvio,3740
aquellos,3739
rojo,3732
abuelos,3729
parecer,3726
saboteo,3720
coche,3717
carne,3717
hermanos,3713
fuego,3700
ladrones,3692
cine,3691
bronca,3689
doble,3689
huevo,3681
delito,3681
empresa,3679
biblica,3676
varios,3671
humanidad,3665
quede,3660
juguete,3656
noches,3651
cristianos,3644
empieza,3644
mata,3639
kilos,3638
ciudadanos,3638
momentos,3637
entusiasmo,3628
ponga,3627
lamentable,3613
pago,3612
loca,3611
subir,3610
compre,3601
seas,3600
guste,3599
grandes,3597
oles,3595
admiten,3594
pendejos,3593
baja,3592
viejos,3591
comunistas,3589
revistaclimax,3580
ausencia,3576
perra,3564
olvidar,3562
haser,3548
